DISTRIBUIDORA;ANO;MÊS;DIA;PRODUTO;QUANTIDADE;PREÇO;FATURAMENTO
Distribuidora DF;2019;7;1;PRODUTO D;680;71,6884411764706;48748,14
Distribuidora DF;2019;8;1;PRODUTO A;162;64,3254320987654;10420,72
Distribuidora DF;2019;8;1;PRODUTO B;1017;35,5806620780072;36185,5333333333
Distribuidora DF;2019;8;1;PRODUTO C;10051;46,5840810861229;468218,54
Distribuidora DF;2019;8;1;PRODUTO D;811;71,5357433682912;57979,72
Distribuidora DF;2019;9;1;PRODUTO A;378;65,81569664903;24878,3333333333
Distribuidora DF;2019;9;1;PRODUTO B;1447;36,3589541580281;52611,4066666667
Distribuidora DF;2019;9;1;PRODUTO C;6779;48,7156670108669;330243,506666667
Distribuidora DF;2019;9;1;PRODUTO D;1142;71,955608083461;82191,2933333333
Distribuidora DF;2019;10;1;PRODUTO A;1280;62,6657604166667;80212,1733333333
Distribuidora DF;2019;10;1;PRODUTO B;1115;39,6708340807175;44232,98
Distribuidora DF;2019;10;1;PRODUTO C;9092;48,7851327174073;443554,426666667
Distribuidora DF;2019;10;1;PRODUTO D;1168;70,3021385262858;82130,4733333333
Distribuidora DF;2019;11;1;PRODUTO A;267;63,9102871410736;17064,0466666667
Distribuidora DF;2019;11;1;PRODUTO B;982;39,4011541072641;38691,9333333333
Distribuidora DF;2019;11;1;PRODUTO C;9119;48,6142610666374;443313,446666667
Distribuidora DF;2019;11;1;PRODUTO D;873;72,6421770266399;63398,46
Distribuidora DF;2019;12;1;PRODUTO A;224;65,0095238095238;14562,1333333333
Distribuidora DF;2019;12;1;PRODUTO B;839;40,3202860548272;33828,72
Distribuidora DF;2019;12;1;PRODUTO C;8290;49,1839187776438;407734,686666667
Distribuidora DF;2019;12;1;PRODUTO D;1194;68,3702407368641;81651,16
Distribuidora DF;2020;1;1;PRODUTO A;272;64,6748529411765;17591,56
Distribuidora DF;2020;1;1;PRODUTO B;734;42,283378746594;31036
Distribuidora DF;2020;1;1;PRODUTO C;8004;49,8544694319507;399035,173333333
Distribuidora DF;2020;1;1;PRODUTO D;1245;66,8554805890228;83235,0733333333
Distribuidora DF;2020;2;1;PRODUTO A;190;64,2950877192982;12216,0666666667
Distribuidora DF;2020;2;1;PRODUTO B;800;40,9812666666667;32785,0133333333
Distribuidora DF;2020;2;1;PRODUTO C;6188;49,9094839474251;308839,886666667
Distribuidora DF;2020;2;1;PRODUTO D;678;75,6401769911504;51284,04
Distribuidora DF;2020;3;1;PRODUTO A;83;65,1681124497992;5408,95333333333
Distribuidora DF;2020;3;1;PRODUTO B;535;41,8803613707165;22405,9933333333
Distribuidora DF;2020;3;1;PRODUTO C;4516;49,7104133451432;224492,226666667
Distribuidora DF;2020;3;1;PRODUTO D;743;56,6724360699865;42107,62
Distribuidora DF;2020;4;1;PRODUTO A;21;66,4746031746032;1395,96666666667
Distribuidora DF;2020;4;1;PRODUTO B;187;41,8343315508021;7823,02
Distribuidora DF;2020;4;1;PRODUTO C;2498;47,2855972240758;118103,66
Distribuidora DF;2020;4;1;PRODUTO D;40;77,0413223140496;3107,33333333333
Distribuidora DF;2020;5;1;PRODUTO A;67;59,9431683168317;4036,17333333333
Distribuidora DF;2020;5;1;PRODUTO B;201;42,7767827529022;8598,13333333333
Distribuidora DF;2020;5;1;PRODUTO C;2524;47,9745598626428;121079,793333333
Distribuidora DF;2020;5;1;PRODUTO D;56;74,2005988023952;4130,5
Distribuidora DF;2020;6;1;PRODUTO A;106;58,8261611374408;6206,16
Distribuidora DF;2020;6;1;PRODUTO B;287;40,4704186046512;11601,52
Distribuidora DF;2020;6;1;PRODUTO C;5129;44,9547371157471;230572,846666667
Distribuidora DF;2020;6;1;PRODUTO D;131;70,9376756066411;9257,36666666667
Distribuidora DF;2020;7;1;PRODUTO A;137;56,4116930572473;7719
Distribuidora DF;2020;7;1;PRODUTO B;409;37,1178964533225;15175,0333333333
Distribuidora DF;2020;7;1;PRODUTO C;5070;43,4041501742389;220044,573333333
Distribuidora DF;2020;7;1;PRODUTO D;389;60,2194599228461;23415,3333333333
Distribuidora DF;2020;8;1;PRODUTO A;61;57,9391256830601;3534,28666666667
Distribuidora DF;2020;8;1;PRODUTO B;343;37,4610608272506;12830,4133333333
Distribuidora DF;2020;8;1;PRODUTO C;4905;43,5607434337943;213672,706666667
Distribuidora DF;2020;8;1;PRODUTO D;411;59,9978593148186;24664,12
Distribuidora DF;2020;9;1;PRODUTO A;101;57,4501973684211;5821,62
Distribuidora DF;2020;9;1;PRODUTO B;475;37,3380617977528;17723,1333333333
Distribuidora DF;2020;9;1;PRODUTO C;6212;43,8808381402087;272595,08
Distribuidora DF;2020;9;1;PRODUTO D;1080;58,9072508485035;63639,4666666667
Distribuidora DF;2020;10;1;PRODUTO A;101;58,1458590852905;5880
Distribuidora DF;2020;10;1;PRODUTO B;570;38,7234027625521;22077,18
Distribuidora DF;2020;10;1;PRODUTO C;7177;44,7911716450405;321460,64
Distribuidora DF;2020;10;1;PRODUTO D;536;67,9548437257036;36418,1333333333
Distribuidora DF;2020;11;1;PRODUTO A;101;58,6601561857789;5946,67333333333
Distribuidora DF;2020;11;1;PRODUTO B;442;39,0854773348412;17280,6666666667
Distribuidora DF;2020;11;1;PRODUTO C;5626;44,9869724172666;253074,213333333
Distribuidora DF;2020;11;1;PRODUTO D;607;72,7736408566722;44173,6
Distribuidora DF;2020;12;1;PRODUTO A;122;58,5133470225873;7124
Distribuidora DF;2020;12;1;PRODUTO B;436;38,9822349570201;17006
Distribuidora DF;2020;12;1;PRODUTO C;6779;44,8698216327183;304176,26
Distribuidora DF;2020;12;1;PRODUTO D;600;73,31;43986
Distribuidora DF;2021;1;1;PRODUTO A;66;65,5666078184111;4332,86
Distribuidora DF;2021;1;1;PRODUTO B;388;42,0307124463519;16321,9266666667
Distribuidora DF;2021;1;1;PRODUTO C;3693;50,2404368921084;185525,373333333
Distribuidora DF;2021;1;1;PRODUTO D;406;74,1177736701582;30073,2866666667
Distribuidora DF;2021;2;1;PRODUTO A;85;55,0473725490196;4679,02666666667
Distribuidora DF;2021;2;1;PRODUTO B;205;40,0273067534581;8198,92666666667
Distribuidora DF;2021;2;1;PRODUTO C;1844;47,2196999819266;87088,8666666667
Distribuidora DF;2021;2;1;PRODUTO D;146;57,2608109651628;8355,30666666667
Distribuidora DF;2021;3;1;PRODUTO A;20;59,4823721881391;1211,95333333333
